nama;deskripsi;rarity
Dorayaki;Meningkatkan mood dan suasana hati;C
Permen ajaib;Menghilangkan rasa lapar seketika;B
Bom penghenti waktu;Menghentikan waktu dunia sementara;S
Es batu panas;Es batu yang dapat mendidihkan air;B
Vitamin A;memberi nutrisi berupa vitamin A pada tubuh;C
Vitamin B;memberi nutrisi berupa vitamin B pada tubuh;C
Vitamin C;memberi nutrisi berupa vitamin C pada tubuh;C
Vitamin D;memberi nutrisi berupa vitamin D pada tubuh;C
Vitamin E;memberi nutrisi berupa vitamin E pada tubuh;C
Vitamin K;memberi nutrisi berupa vitamin K pada tubuh;C
Vitamin komplit;memberi nutrisi berupa vitamin A, B, C, D, E, dan K pada tubuh;A
pocky penggiat;menambah semangat belajar ;A
Ferero Bulet;salah satu jenis coklat yang enak parah, tentunya menambah kebahagiaan;A
Air Fiji;sebagai salah satu tempat yang belum terjamah teknologi manusia, air dari kepulauan Fiji dipercaya akan kemurniannya.;S
Ramen Desa Konoha;Ramen desa Konoha yang jadi langganan Naruto, menambah stamina.;A
Roti Fotokopi;Roti yang bisa menjiplak halaman buku teks kemudian yang memakannya akan mengingat hal yang tercetak di roti tersebut. ;A
Kopi Xtra Keras;Meningkatkan stamina untuk begadang dengan cara menghambat produksi hormon melatonin pada tubuh yang menyebabkan kantuk.;A
Sedotan Rasa ;Memberi rasa untuk minuman yang tawar.;A
Kripik Singkong Anti Pedas;Membuat pengguna mati rasa ketika memakan makanan pedas setelah mengonsumsi kripik.;A
Coklat Anti Move On;Membuat orang yang mengkonsumsi teringat kenangan bersama mantan.;A
Mie Anti Bully;Membuat kuping orang yg mengkonsumsi tuli sementara untuk menghindari julidan tetangga yang menusuk hati.;S
Nasi Goreng Anti Stress;Anda demot? Ingin menghilang sebentar dari dunia? Silahkan makan nasgor abang-abang ini agar melupakan stress anda sejenak. ;S
Es Krim Anti Galau;Melihat mantan bersama dengan pacar barunya? Tenang aja, langsung konsumsi es krim anti galau, biar mampu melupakan masa lalu. ;S
Kertas Emas Menolak Miskin;Akhir bulan gapunya duit? Oh tenang, konsumsilah kertas emas ini biar merasa sedikit kaya.;S
Bulgogi Tangkap PHP;Membantu mendeteksi dan menangkap tukang PHP ;S
